setter_username,name,description,matching,angle,benchmark_difficulty,frames
tensionclimbing,Nouveau Americain,No matching,1,35,22,p331r6p383r6p452r6p562r8p568r8p571r6p589r7p612r8p619r8p631r5p665r8
tensionclimbing,Bottom Line,No matching,1,45,21,p304r8p348r8p431r6p447r8p490r7p560r8p584r6p592r6p652r5p699r6
tensionclimbing,Untrust Us,,0,45,25,p554r6p578r6p588r6p618r6p636r7p694r8p709r8p716r6p737r6p738r6p753r5p779r8p788r8
tensionclimbing,Poseidon,,0,25,16,p343r5p351r5p366r8p379r8p456r8p476r8p567r8p569r6p575r6p580r8p699r6p714r6p727r8p740r6p744r6p758r7
tensionclimbing,Poseidon,,0,30,18,p343r5p351r5p366r8p379r8p456r8p476r8p567r8p569r6p575r6p580r8p699r6p714r6p727r8p740r6p744r6p758r7
tensionclimbing,Poseidon,,0,35,18,p343r5p351r5p366r8p379r8p456r8p476r8p567r8p569r6p575r6p580r8p699r6p714r6p727r8p740r6p744r6p758r7
tensionclimbing,Poseidon,,0,40,20,p343r5p351r5p366r8p379r8p456r8p476r8p567r8p569r6p575r6p580r8p699r6p714r6p727r8p740r6p744r6p758r7
tensionclimbing,Poseidon,,0,45,21,p343r5p351r5p366r8p379r8p456r8p476r8p567r8p569r6p575r6p580r8p699r6p714r6p727r8p740r6p744r6p758r7
tensionclimbing,Subsonic,No matching,1,40,16,p329r8p333r6p350r8p352r8p360r8p567r8p573r6p589r7p593r6p604r6p692r6p697r5p712r8p722r5
tensionclimbing,You Look Great Today,No matching,1,35,16,p304r8p317r8p327r8p437r8p466r8p472r8p474r6p484r8p490r6p492r7p552r6p683r5p721r5p722r6p724r6p739r6p741r8
tensionclimbing,You Look Great Today,No matching,1,40,16,p304r8p317r8p327r8p437r8p466r8p472r8p474r6p484r8p490r6p492r7p552r6p683r5p721r5p722r6p724r6p739r6p741r8
tensionclimbing,Sequence,No matching,1,40,15,p304r8p317r8p327r8p437r8p466r8p484r8p490r7p552r6p683r5p721r5p722r6p724r6p739r6
tensionclimbing,You Must Be Proud,No Matching,1,25,15,p306r5p307r6p309r6p312r6p342r6p348r8p352r5p431r6p472r6p549r8p560r8p566r8p589r7p615r8p684r8p685r8p702r8p712r8
tensionclimbing,Compliments To The Climber,No Matching,1,35,17,p311r6p316r6p353r6p356r6p357r7p366r8p430r6p450r6p546r8p553r6p561r5p567r8p573r6p613r5p685r8p689r8p704r8
tensionclimbing,Compliments To The Climber,No Matching,1,40,18,p311r6p316r6p353r6p356r6p357r7p366r8p430r6p450r6p546r8p553r6p561r5p567r8p573r6p613r5p685r8p689r8p704r8
tensionclimbing,Compliments To The Climber,No Matching,1,45,19,p311r6p316r6p353r6p356r6p357r7p366r8p430r6p450r6p546r8p553r6p561r5p567r8p573r6p613r5p685r8p689r8p704r8
tensionclimbing,Sun Up,No matching,1,25,15,p309r7p313r6p319r8p333r6p336r8p345r6p348r8p354r6p359r5p366r8p381r5p382r6p447r8
tensionclimbing,Sun Down,No matching,1,35,14,p307r8p309r6p313r6p319r8p326r7p333r6p336r8p345r6p348r8p354r6p359r5p366r8p381r5p382r6p434r6p443r6p444r7p447r8
tensionclimbing,Money Music,No Matching,1,35,15,p305r5p311r6p317r8p358r8p368r8p439r6p461r8p484r8p570r6p585r6p590r8p602r6p603r7p688r8p689r8p701r8
tensionclimbing,Watermelon,No Matching,1,40,13,p428r8p454r8p462r6p472r6p480r6p484r8p498r8p550r8p689r8p704r5p724r6p725r7p733r8p736r6p739r6p753r6
tensionclimbing,Chromazone,No Matching,1,45,15,p326r7p428r8p434r6p443r6p462r6p472r6p480r6p484r8p498r8p577r8p585r8p689r8p697r8p704r5p724r6p725r6p733r8p739r6p741r8p753r6
tensionclimbing,Take Five,No matching,1,45,18,p348r8p352r6p379r8p380r5p436r8p447r8p462r6p480r6p484r8p485r8p559r6p579r8p614r6p681r6p692r6p701r8p715r6p721r6p724r6p725r7p736r8
tensionclimbing,Phase,No Matching,1,45,27,p564r6p565r6p587r8p636r7p655r8p696r5p730r6p748r8p761r8p762r5p765r6p787r8p789r8
tensionclimbing,Spinning Plates,No matching,1,35,22,p317r8p351r5p392r8p430r6p627r8p631r6p695r6p740r6p758r7
tensionclimbing,Spinning Plates,No matching,1,40,22,p317r8p351r5p392r8p430r6p627r8p631r6p695r6p740r6p758r7
tensionclimbing,Spinning Plates,No matching,1,45,25,p317r8p351r5p392r8p430r6p627r8p631r6p695r6p740r6p758r7
tensionclimbing,Hearing Damage,No matching,1,30,16,p304r8p368r5p437r8p449r6p470r8p575r6p577r6p695r7p698r6p710r7
tensionclimbing,Hearing Damage,No matching,1,35,17,p304r8p368r5p437r8p449r6p470r8p575r6p577r6p695r7p698r6p710r7
tensionclimbing,Orion's Collar,,0,35,19,p304r8p322r6p345r6p350r8p368r5p432r6p442r6p482r6p486r8p492r7p558r8p680r8p693r6
tensionclimbing,Endearing,No matching,1,30,16,p304r8p368r5p437r8p449r6p470r8p475r7p482r6p487r8p575r6p577r6p695r6p698r6
tensionclimbing,Endearing,No matching,1,40,19,p304r8p368r5p437r8p449r6p470r8p475r7p482r6p487r8p575r6p577r6p695r6p698r6
tensionclimbing,Endearing,No matching,1,45,21,p304r8p368r5p437r8p449r6p470r8p475r7p482r6p487r8p575r6p577r6p695r6p698r6
tensionclimbing,Complementary Bros,No matching,1,35,22,p322r6p347r6p357r7p366r8p436r8p440r6p469r5p497r8p558r8p617r6p702r8
tensionclimbing,Cheap Umbrella,No matching,1,50,24,p315r7p433r7p567r8p569r6p696r5p713r5p716r6
tensionclimbing,Cocoa,No matching,1,40,17,p307r6p348r8p379r8p476r8p480r6p486r8p490r7p502r6p558r8p585r6p613r5p715r6
tensionclimbing,Putty,No matching,1,30,13,p348r8p436r8p454r8p462r6p466r8p480r6p484r8p485r8p490r7p502r6p559r5p681r5p690r8p722r6p736r6
tensionclimbing,Putty,No matching,1,35,13,p348r8p436r8p454r8p462r6p466r8p480r6p484r8p485r8p490r7p502r6p559r5p681r5p690r8p722r6p736r6
tensionclimbing,Putty,No matching,1,40,15,p348r8p436r8p454r8p462r6p466r8p480r6p484r8p485r8p490r7p502r6p559r5p681r5p690r8p722r6p736r6
tensionclimbing,Putty,No matching,1,45,15,p348r8p436r8p454r8p462r6p466r8p480r6p484r8p485r8p490r7p502r6p559r5p681r5p690r8p722r6p736r6
